index,StartDateUTC,EndDateUTC
242,2016-01-25 16:01:06.290,2016-01-25 16:01:19.460
243,2016-01-25 16:01:19.460,2016-01-25 16:24:54.447
244,2016-01-25 16:24:54.447,2016-01-25 16:37:06.377
245,2016-01-25 16:37:06.377,2016-01-25 16:40:54.463
246,2016-01-25 16:40:54.463,2016-01-25 17:34:18.633
247,2016-01-25 17:34:18.633,2016-01-25 17:36:48.710
248,2016-01-25 17:36:48.710,2016-01-25 18:01:36.663
249,2016-01-25 18:01:36.663,2016-01-25 18:03:43.617
250,2016-01-25 18:03:43.617,2016-01-25 18:32:36.653
251,2016-01-25 18:32:36.653,2016-01-25 18:34:40.653
252,2016-01-25 18:34:40.653,2016-01-25 18:44:56.720
253,2016-01-25 18:44:56.720,2016-01-25 18:49:10.703
254,2016-01-25 18:49:10.703,2016-01-25 18:52:54.670
255,2016-01-25 18:52:54.670,2016-01-25 18:55:27.770
256,2016-01-25 18:55:27.770,2016-01-25 19:13:58.847
257,2016-01-25 19:13:58.847,2016-01-25 19:16:06.827
258,2016-01-25 19:16:06.827,2016-01-25 19:25:50.900
259,2016-01-25 19:25:50.900,2016-01-25 19:28:17.923
260,2016-01-25 19:28:17.923,2016-01-25 19:47:22.967
261,2016-01-25 19:47:22.967,2016-01-25 19:49:33.107
262,2016-01-25 19:49:33.107,2016-01-25 19:59:39.043
263,2016-01-25 19:59:39.043,2016-01-25 20:01:59.953
264,2016-01-25 20:01:59.953,2016-01-25 20:06:56.123
265,2016-01-25 20:06:56.123,2016-01-25 20:09:25.980
266,2016-01-25 20:09:25.980,2016-01-25 20:30:12.113
267,2016-01-25 20:30:12.113,2016-01-25 20:33:46.047
268,2016-01-25 20:33:46.047,2016-01-25 20:46:12.067
269,2016-01-25 20:46:12.067,2016-01-25 20:48:49.073
270,2016-01-25 20:48:49.073,2016-01-25 21:09:49.127
271,2016-01-25 21:09:49.127,2016-01-25 21:12:33.370
272,2016-01-25 21:12:33.370,2016-01-25 21:31:29.207
273,2016-01-25 21:31:29.207,2016-01-25 21:33:42.203
274,2016-01-25 21:33:42.203,2016-01-25 21:37:41.217
275,2016-01-25 21:37:41.217,2016-01-25 21:39:43.217
276,2016-01-25 21:39:43.217,2016-01-25 21:48:32.297
277,2016-01-25 21:48:32.297,2016-01-25 21:53:33.260
278,2016-01-25 21:53:33.260,2016-01-25 22:16:10.490
279,2016-01-25 22:16:10.490,2016-01-25 22:19:42.410
280,2016-01-25 22:19:42.410,2016-01-25 22:22:40.443
281,2016-01-25 22:22:40.443,2016-01-25 22:24:48.450
282,2016-01-25 22:24:48.450,2016-01-25 22:27:53.350
283,2016-01-25 22:27:53.350,2016-01-25 22:30:51.380
284,2016-01-25 22:30:51.380,2016-01-25 22:49:00.417
285,2016-01-25 22:49:00.417,2016-01-25 23:04:48.697
286,2016-01-25 23:04:48.697,2016-01-25 23:05:01.457
287,2016-01-25 23:05:01.457,2016-01-25 23:07:53.470
288,2016-01-25 23:07:53.470,2016-01-25 23:33:43.613
289,2016-01-25 23:33:43.613,2016-01-25 23:40:18.543
290,2016-01-25 23:40:18.543,2016-01-25 23:49:29.630
291,2016-01-25 23:49:29.630,2016-01-25 23:51:31.667
292,2016-01-25 23:51:31.667,2016-01-25 23:58:19.693
293,2016-01-25 23:58:19.693,2016-01-25 23:59:06.210
294,2016-01-25 23:59:06.210,2016-01-26 01:05:15.773
295,2016-01-26 01:05:15.773,2016-01-26 01:12:12.837
296,2016-01-26 01:12:12.837,2016-01-26 01:25:43.840
297,2016-01-26 01:25:43.840,2016-01-26 01:29:47.900
298,2016-01-26 01:29:47.900,2016-01-26 01:42:46.017
299,2016-01-26 01:42:46.017,2016-01-26 01:46:07.927
300,2016-01-26 01:46:07.927,2016-01-26 01:59:27.160
301,2016-01-26 01:59:27.160,2016-01-26 02:02:07.967
302,2016-01-26 02:02:07.967,2016-01-26 03:02:36.160
303,2016-01-26 03:02:36.160,2016-01-26 03:05:53.267
304,2016-01-26 03:05:53.267,2016-01-26 05:43:17.880
305,2016-01-26 05:43:17.880,2016-01-26 05:46:51.893
306,2016-01-26 05:46:51.893,2016-01-26 06:21:26.333
307,2016-01-26 06:21:26.333,2016-01-26 06:23:35.407
308,2016-01-26 06:23:35.407,2016-01-26 06:35:00.297
309,2016-01-26 06:35:00.297,2016-01-26 06:38:42.290
310,2016-01-26 06:38:42.290,2016-01-26 07:17:10.167
311,2016-01-26 07:17:10.167,2016-01-26 07:21:09.240
312,2016-01-26 07:21:09.240,2016-01-26 07:23:08.263
313,2016-01-26 07:23:08.263,2016-01-26 07:25:05.270
314,2016-01-26 07:25:05.270,2016-01-26 07:25:11.257
315,2016-01-26 07:25:11.257,2016-01-26 08:00:24.467
316,2016-01-26 08:00:24.467,2016-01-26 08:02:51.037
317,2016-01-26 08:02:51.037,2016-01-26 08:10:50.013
318,2016-01-26 08:10:50.013,2016-01-26 08:13:29.170
319,2016-01-26 08:13:29.170,2016-01-26 08:16:08.000
320,2016-01-26 08:16:08.000,2016-01-26 08:18:37.027
321,2016-01-26 08:18:37.027,2016-01-26 08:22:38.977
322,2016-01-26 08:22:38.977,2016-01-26 08:25:51.277
323,2016-01-26 08:25:51.277,2016-01-26 08:26:40.143
324,2016-01-26 08:26:40.143,2016-01-26 08:52:21.927
325,2016-01-26 08:52:21.927,2016-01-26 08:52:28.923
326,2016-01-26 08:52:28.923,2016-01-26 08:58:49.087
327,2016-01-26 08:58:49.087,2016-01-26 08:59:02.940
328,2016-01-26 08:59:02.940,2016-01-26 09:06:20.863
329,2016-01-26 09:06:20.863,2016-01-26 09:06:47.853
330,2016-01-26 09:06:47.853,2016-01-26 09:21:11.823
331,2016-01-26 09:21:11.823,2016-01-26 09:23:05.870
332,2016-01-26 09:23:05.870,2016-01-26 09:34:42.777
333,2016-01-26 09:34:42.777,2016-01-26 09:41:36.740
334,2016-01-26 09:41:36.740,2016-01-26 10:02:58.710
335,2016-01-26 10:02:58.710,2016-01-26 10:04:29.683
336,2016-01-26 10:04:29.683,2016-01-26 10:08:57.687
337,2016-01-26 10:08:57.687,2016-01-26 10:27:15.617
338,2016-01-26 10:27:15.617,2016-01-26 10:36:42.617
339,2016-01-26 10:36:42.617,2016-01-26 10:39:15.627
340,2016-01-26 10:39:15.627,2016-01-26 10:47:04.557
341,2016-01-26 10:47:04.557,2016-01-26 11:01:13.510
342,2016-01-26 11:01:13.510,2016-01-26 11:03:39.510
