ProductionRequestId,Uptime,Totaltime,Quantity,Start,End,Product,Type,Releasedate,Duedate,TargetProductionRate,UnitPrice,Power,Weight
77312,5.2950175,5.964739722222223,1516.0,2016-02-07 07:44:45.527000,2016-02-07 13:42:38.470000,ALDI BELGIE SPIRALE 16x500G,LARGE,2016-01-28 13:42:38.470000,2016-02-16 13:42:38.470000,305.0,0.9677592170639351,1.1400652623342693,5
51149,6.098615833333334,19.028338055555558,1410.0,2016-02-07 13:42:38.470000,2016-02-08 08:44:20.487000,DLL 365 MACARONI COUPES 10X1KG,SMALL,2016-02-01 08:44:20.487000,2016-02-18 08:44:20.487000,244.0,0.9066503670603375,1.288402871501185,3
77313,6.112966666666667,11.835744444444444,1289.0,2016-02-08 08:44:20.487000,2016-02-08 20:34:29.133000,DLL 365 MACARONI COUPES 10X1KG,SMALL,2016-01-30 20:34:29.133000,2016-02-17 20:34:29.133000,244.0,1.2995607091983081,0.7242123603564916,4
51182,4.763888888888889,7.729444444444445,1400.0,2016-02-08 20:34:29.133000,2016-02-09 04:18:15.830000,MACARONI COUPS PPX 10X1KG,SMALL,2016-02-02 04:18:15.830000,2016-02-17 04:18:15.830000,244.0,1.1695116307464448,0.9806826009710732,4
51177,4.7244213888888895,7.988310277777778,1055.0,2016-02-09 04:18:15.830000,2016-02-09 12:17:32.917000,TOSCA MACARONI KORT 10x1KG IN,SMALL,2016-01-30 12:17:32.917000,2016-02-18 12:17:32.917000,244.0,1.2200566728770146,1.3551311504461423,2
77314,1.6323333333333332,2.997611111111111,344.0,2016-02-09 12:17:32.917000,2016-02-09 15:17:24.347000,TOSCA MACARONI KORT 10x1KG IN,SMALL,2016-02-01 15:17:24.347000,2016-02-18 15:17:24.347000,244.0,1.474403709122499,1.098410180904957,1
51292,6.605238888888889,12.37635,1400.0,2016-02-09 15:17:24.347000,2016-02-10 03:39:59.747000,PASTA MARE VERMICELLES D'ANGE,Other,2016-01-31 03:39:59.747000,2016-02-18 03:39:59.747000,244.0,0.7451065717399981,0.7729953324142289,1
51184,4.061363055555556,5.419418611111111,1400.0,2016-02-10 03:39:59.747000,2016-02-10 09:05:09.350000,TOSCA VERMICELLES 10x1KG IN DI,SMALL,2016-02-03 09:05:09.350000,2016-02-18 09:05:09.350000,244.0,1.2616664017425219,1.465954600328644,4
51178,0.0,1.1055555555555556,0.0,2016-02-10 09:05:09.350000,2016-02-10 10:11:29.693000,NOUILLES PPX 10x1KG,SMALL,2016-01-31 10:11:29.693000,2016-02-17 10:11:29.693000,244.0,1.0961165289767152,0.798242831706752,6
-40,2.4811955555555554,2.4811955555555554,2.4811955555555554,2016-02-10 10:11:29.693000,2016-02-10 12:40:21.997000,NONE,NONE,1677-09-21 00:12:43.145225,2262-04-11 23:47:16.854775,1.0,0.0,0.0,0
77315,8.176084166666666,14.566639722222222,1618.0,2016-02-10 12:40:21.997000,2016-02-11 03:14:21.123000,NOUILLES PPX 10x1KG,SMALL,2016-02-02 03:14:21.123000,2016-02-20 03:14:21.123000,244.0,0.5676767475342975,0.9524909089776455,7
77776,3.6455555555555557,4.58,780.0,2016-02-11 03:14:21.123000,2016-02-11 07:49:09.330000,NOUILLES PPX 10x1KG,SMALL,2016-02-02 07:49:09.330000,2016-02-18 07:49:09.330000,244.0,0.610548074731744,1.1147702748919217,7
51469,17.259723055555554,27.5441675,5000.0,2016-02-11 07:49:09.330000,2016-02-12 11:21:48.713000,ALDI BELGIE GESNEDEN MACARONI,Other,2016-02-05 11:21:48.713000,2016-02-20 11:21:48.713000,271.0,1.2202178150154865,1.1687713878841548,9
51470,11.203891666666667,15.411391666666667,2500.0,2016-02-12 11:21:48.713000,2016-02-13 02:46:29.170000,TOSCA VERMICELLI TARWEBLOEM 20,LARGE,2016-02-05 02:46:29.170000,2016-02-20 02:46:29.170000,244.0,0.5470921089355031,0.9526698275087485,4
51471,3.0650075,3.2769519444444444,700.0,2016-02-13 02:46:29.170000,2016-02-13 06:03:06.707000,AH BASIC VERMICELLI 20X500G,LARGE,2016-02-05 06:03:06.707000,2016-02-21 06:03:06.707000,244.0,0.8467282908015996,1.1104275852349512,5
