ID,Duration,Start,End,Quantity,Product
162,9.25,2016-04-09 19:13:38.320,2016-04-10 04:28:20.697,30000.0,FF049386
163,6.05,2016-04-11 04:03:41.057,2016-04-11 10:06:37.047,30000.0,FF025205
164,14.15,2016-04-11 10:16:06.110,2016-04-12 00:25:23.833,60000.0,FF144220
165,8.95,2016-04-12 00:25:29.233,2016-04-12 09:22:20.100,40000.0,FF027401
166,7.14,2016-04-12 09:39:52.180,2016-04-12 16:48:04.690,35000.0,FF036103
167,11.15,2016-04-12 16:53:43.293,2016-04-13 04:02:29.930,60000.0,FF044001
168,5.67,2016-04-13 04:14:40.887,2016-04-13 09:55:09.460,30000.0,FF044301
169,5.41,2016-04-13 10:14:31.590,2016-04-13 15:39:09.497,30000.0,FF029001
170,18.2,2016-04-13 15:49:07.990,2016-04-14 10:01:22.270,40000.0,FF029101
171,5.52,2016-04-13 23:36:54.563,2016-04-14 05:08:13.677,30000.0,FF025450
172,5.82,2016-04-14 05:08:17.473,2016-04-14 10:57:43.493,30000.0,FF025450
173,6.98,2016-04-14 14:25:11.633,2016-04-14 21:23:42.757,30000.0,FF104421
174,12.76,2016-04-14 21:23:47.557,2016-04-15 10:09:15.817,30000.0,FF012201
175,5.06,2016-04-14 23:24:04.307,2016-04-15 04:27:32.560,30000.0,FF044101
176,3.69,2016-04-15 10:23:24.127,2016-04-15 14:04:50.887,20000.0,FF011501
177,17.05,2016-04-15 16:30:10.563,2016-04-16 09:33:25.940,40000.0,FF049360
178,28.31,2016-04-16 09:58:10.030,2016-04-17 14:16:40.357,90000.0,FF049386
179,5.8,2016-04-18 10:00:55.453,2016-04-18 15:48:59.510,30000.0,FF029201
180,6.37,2016-04-18 15:58:26.947,2016-04-18 22:20:33.533,35000.0,FF082005
181,16.26,2016-04-18 22:20:37.743,2016-04-19 14:36:02.870,35000.0,FF025201
182,6.32,2016-04-19 15:56:05.477,2016-04-19 22:15:33.887,30000.0,FF036103
183,7.37,2016-04-19 22:15:40.860,2016-04-20 05:37:58.883,30000.0,FF042201
184,8.13,2016-04-20 05:48:55.080,2016-04-20 13:56:57.163,40000.0,FF036110
185,11.66,2016-04-20 14:08:48.723,2016-04-21 01:48:24.197,70000.0,FF025205
186,5.41,2016-04-21 01:48:27.990,2016-04-21 07:13:00.360,30000.0,FF025315
187,7.99,2016-04-21 07:30:25.563,2016-04-21 15:29:34.633,50000.0,FF025305
188,11.36,2016-04-22 05:33:34.833,2016-04-22 16:55:07.677,65000.0,FF035105
189,6.52,2016-04-22 17:06:31.840,2016-04-22 23:37:28.180,35000.0,FF025450
190,22.84,2016-04-23 02:39:52.987,2016-04-24 01:30:27.787,55000.0,FF049360
191,11.38,2016-04-24 01:52:18.947,2016-04-24 13:15:24.410,35000.0,FF027206
192,14.45,2016-04-24 14:00:41.643,2016-04-25 04:27:35.580,40000.0,FF174936
193,8.35,2016-04-25 07:56:07.197,2016-04-25 16:17:03.317,27000.0,FF049386
194,14.49,2016-04-29 10:16:42.040,2016-04-30 00:45:59.783,30000.0,FF044101
195,5.95,2016-04-29 12:41:28.183,2016-04-29 18:38:33.493,30000.0,FF011501
196,5.03,2016-04-30 00:46:04.407,2016-04-30 05:47:50.033,30000.0,FF025205
197,5.65,2016-04-30 06:14:06.873,2016-04-30 11:53:14.337,30000.0,FF025450
198,38.21,2016-04-30 13:50:03.590,2016-05-02 04:02:52.453,75000.0,FF049386
199,6.28,2016-05-02 01:34:46.290,2016-05-02 07:51:21.660,30000.0,FF029201
200,8.35,2016-05-02 08:17:29.027,2016-05-02 16:38:23.200,45000.0,FF029101
201,6.76,2016-05-02 16:45:23.147,2016-05-02 23:30:53.697,35000.0,FF025450
202,7.23,2016-05-02 23:30:58.247,2016-05-03 06:45:01.240,30000.0,FF144220
203,5.01,2016-05-03 07:09:27.780,2016-05-03 12:09:46.697,30000.0,FF025205
204,5.8,2016-05-03 12:32:39.997,2016-05-03 18:20:36.273,30000.0,FF036102
205,6.22,2016-05-03 18:26:23.873,2016-05-04 00:39:43.833,35000.0,FF025201
206,5.83,2016-05-04 00:39:47.543,2016-05-04 06:29:35.840,30000.0,FF035902
207,15.85,2016-05-07 06:31:05.350,2016-05-07 22:22:22.943,50000.0,FF049386
208,11.12,2016-05-07 23:00:29.820,2016-05-08 10:07:42.663,35000.0,FF027206
209,20.56,2016-05-08 10:24:54.470,2016-05-09 06:58:38.333,30000.0,FF027601
210,11.42,2016-05-09 06:37:46.230,2016-05-09 18:03:01.650,70000.0,FF035105
211,5.03,2016-05-09 18:25:37.543,2016-05-09 23:27:15.213,30000.0,FF025305
212,6.23,2016-05-09 23:32:31.180,2016-05-10 05:46:12.780,35000.0,FF145300
213,10.42,2016-05-10 08:31:59.040,2016-05-10 18:57:23.633,55000.0,FF044301
214,5.1,2016-05-10 19:23:08.803,2016-05-11 00:29:23.793,30000.0,FF025315
215,6.15,2016-05-11 00:29:27.790,2016-05-11 06:38:12.450,35000.0,FF029001
216,5.48,2016-05-11 12:21:10.907,2016-05-11 17:50:03.240,30000.0,FF012201
217,5.69,2016-05-11 18:12:05.357,2016-05-11 23:53:15.213,30000.0,FF036103
218,6.8,2016-05-11 23:53:19.197,2016-05-12 06:41:10.450,35000.0,FF029201
219,6.14,2016-05-12 07:02:33.317,2016-05-12 13:11:11.473,35000.0,FF011501
220,5.74,2016-05-12 17:38:32.313,2016-05-12 23:22:42.140,30000.0,FF144220
221,13.91,2016-05-12 23:22:50.430,2016-05-13 13:17:18.880,30000.0,FF044001
222,5.86,2016-05-13 14:43:07.020,2016-05-13 20:34:54.340,30000.0,FF036110
223,16.21,2016-05-13 23:11:24.850,2016-05-14 15:24:08.457,40000.0,FF049360
224,10.16,2016-05-14 16:52:21.487,2016-05-15 03:01:54.513,40000.0,FF174936
225,6.79,2016-05-17 06:15:45.797,2016-05-17 13:03:10.130,30000.0,FF044001
