ID,StartDateUTC,EndDateUTC
404,2016-04-01 17:20:31.203,2016-04-01 18:25:52.040
405,2016-04-01 18:28:55.997,2016-04-01 18:33:48.057
406,2016-04-01 21:04:57.087,2016-04-01 21:05:40.890
407,2016-04-02 00:14:26.460,2016-04-02 00:16:31.647
408,2016-04-02 11:26:33.150,2016-04-02 11:28:38.290
409,2016-04-03 08:57:08.657,2016-04-03 08:58:03.467
410,2016-04-03 20:54:31.240,2016-04-03 21:00:01.267
411,2016-04-03 21:11:09.203,2016-04-03 21:17:23.280
412,2016-04-03 21:19:12.177,2016-04-03 21:27:15.253
413,2016-04-03 21:29:13.130,2016-04-03 21:38:37.110
414,2016-04-04 02:38:39.093,2016-04-04 02:39:16.073
415,2016-04-04 03:22:49.363,2016-04-04 03:24:54.283
416,2016-04-04 06:59:04.070,2016-04-04 07:11:35.020
417,2016-04-04 09:29:56.463,2016-04-04 09:32:01.490
418,2016-04-04 22:52:16.287,2016-04-04 23:01:50.220
419,2016-04-04 23:01:53.850,2016-04-04 23:09:34.210
420,2016-04-05 05:13:53.037,2016-04-05 05:16:01.037
421,2016-04-05 07:29:03.223,2016-04-05 07:33:09.217
422,2016-04-05 08:07:50.313,2016-04-05 08:09:56.393
423,2016-04-05 13:26:22.410,2016-04-05 13:28:47.370
424,2016-04-05 13:42:34.430,2016-04-05 13:45:18.450
425,2016-04-05 20:18:01.533,2016-04-05 20:18:35.193
426,2016-04-06 05:11:20.507,2016-04-06 05:13:28.547
427,2016-04-06 06:05:43.380,2016-04-06 06:07:55.667
428,2016-04-06 06:39:36.293,2016-04-06 06:41:39.353
429,2016-04-06 06:41:59.297,2016-04-06 08:19:23.137
430,2016-04-06 08:21:01.150,2016-04-06 08:31:12.020
431,2016-04-06 08:42:31.927,2016-04-06 08:45:17.920
432,2016-04-06 09:06:04.000,2016-04-06 09:08:25.850
433,2016-04-06 09:09:06.847,2016-04-06 11:01:10.133
434,2016-04-07 13:39:40.773,2016-04-07 13:45:58.807
435,2016-04-07 13:46:10.817,2016-04-07 13:47:08.280
436,2016-04-07 14:02:36.857,2016-04-07 14:04:42.940
437,2016-04-07 14:15:24.913,2016-04-07 14:19:50.030
438,2016-04-07 19:29:46.783,2016-04-07 19:33:35.867
439,2016-04-07 19:33:41.913,2016-04-07 19:34:33.910
440,2016-04-07 19:36:29.793,2016-04-07 19:47:13.840
441,2016-04-07 20:26:14.960,2016-04-07 20:28:50.040
442,2016-04-07 20:31:18.240,2016-04-07 20:33:32.953
443,2016-04-07 20:56:57.143,2016-04-07 20:59:42.077
444,2016-04-07 20:59:50.147,2016-04-07 21:11:11.067
445,2016-04-08 01:17:29.837,2016-04-08 01:20:21.633
446,2016-04-08 01:21:00.633,2016-04-08 01:21:46.667
447,2016-04-08 01:23:20.617,2016-04-08 01:40:31.800
448,2016-04-08 06:54:54.933,2016-04-08 06:59:27.240
449,2016-04-08 08:33:11.670,2016-04-08 08:35:16.680
450,2016-04-08 13:06:19.847,2016-04-08 13:10:29.880
451,2016-04-08 13:50:17.707,2016-04-08 13:52:56.710
452,2016-04-08 13:53:14.710,2016-04-08 13:55:14.690
453,2016-04-08 16:14:29.647,2016-04-08 16:16:35.497
454,2016-04-08 16:53:32.600,2016-04-08 16:59:04.660
455,2016-04-08 17:39:19.707,2016-04-08 17:47:18.780
456,2016-04-09 18:53:04.977,2016-04-09 19:13:38.880
457,2016-04-09 19:13:38.880,2016-04-09 19:15:42.933
458,2016-04-10 04:27:09.263,2016-04-10 04:28:23.157
459,2016-04-11 04:03:45.693,2016-04-11 04:06:23.020
460,2016-04-11 06:40:46.540,2016-04-11 06:41:23.623
461,2016-04-11 07:29:38.613,2016-04-11 07:31:46.647
462,2016-04-11 10:03:43.150,2016-04-11 10:06:41.020
463,2016-04-11 10:16:09.223,2016-04-11 10:18:14.067
464,2016-04-11 12:29:07.670,2016-04-11 12:34:39.703
465,2016-04-12 00:10:53.067,2016-04-12 00:25:29.090
466,2016-04-12 00:25:34.310,2016-04-12 00:31:07.097
467,2016-04-12 09:39:57.180,2016-04-12 09:42:03.217
468,2016-04-12 16:35:27.440,2016-04-12 16:48:07.540
469,2016-04-12 16:53:47.660,2016-04-12 16:55:54.517
470,2016-04-12 20:44:28.127,2016-04-12 20:55:36.080
471,2016-04-13 04:14:45.730,2016-04-13 04:16:50.737
472,2016-04-13 09:49:04.567,2016-04-13 09:55:15.540
473,2016-04-13 10:14:36.617,2016-04-13 10:16:41.840
474,2016-04-13 15:27:42.560,2016-04-13 15:29:44.557
475,2016-04-13 15:36:31.580,2016-04-13 15:39:14.467
476,2016-04-13 15:49:12.590,2016-04-13 15:51:17.973
477,2016-04-13 19:11:01.180,2016-04-13 19:19:35.450
478,2016-04-13 20:31:12.727,2016-04-13 20:36:45.430
479,2016-04-13 23:36:59.273,2016-04-13 23:41:06.243
480,2016-04-14 07:19:08.790,2016-04-14 07:29:51.810
481,2016-04-14 10:56:55.483,2016-04-14 10:57:49.113
482,2016-04-14 14:25:18.680,2016-04-14 14:27:23.783
483,2016-04-14 21:12:04.743,2016-04-14 21:14:40.863
484,2016-04-14 21:23:10.770,2016-04-14 21:23:45.730
485,2016-04-14 21:23:53.897,2016-04-14 21:39:50.810
486,2016-04-15 04:40:01.480,2016-04-15 04:42:08.747
487,2016-04-15 10:23:29.697,2016-04-15 10:25:36.680
488,2016-04-15 13:58:36.973,2016-04-15 14:04:53.860
489,2016-04-15 16:30:15.283,2016-04-15 16:33:20.570
490,2016-04-15 16:41:34.327,2016-04-15 17:02:45.433
491,2016-04-15 17:02:53.507,2016-04-15 17:12:27.450
492,2016-04-16 00:40:18.770,2016-04-16 00:51:52.740
493,2016-04-16 01:13:44.843,2016-04-16 01:16:27.857
494,2016-04-16 09:58:15.073,2016-04-16 10:00:20.980
495,2016-04-17 14:15:50.827,2016-04-17 14:16:45.777
496,2016-04-18 10:01:01.667,2016-04-18 10:03:08.697
497,2016-04-18 11:02:11.890,2016-04-18 11:06:02.970
498,2016-04-18 11:12:35.020,2016-04-18 11:16:33.930
499,2016-04-18 15:25:53.627,2016-04-18 15:36:25.930
500,2016-04-18 15:45:43.793,2016-04-18 15:49:04.650
501,2016-04-18 15:58:31.937,2016-04-18 16:00:44.713
502,2016-04-18 20:12:27.850,2016-04-18 20:15:58.757
503,2016-04-18 22:09:29.113,2016-04-18 22:11:44.040
504,2016-04-18 22:18:16.010,2016-04-18 22:20:39.103
505,2016-04-18 22:20:39.103,2016-04-18 22:32:14.983
506,2016-04-19 01:37:25.377,2016-04-19 06:04:23.620
507,2016-04-19 10:29:00.263,2016-04-19 10:31:05.400
508,2016-04-19 14:26:12.100,2016-04-19 14:36:10.110
509,2016-04-19 15:56:11.340,2016-04-19 15:58:17.450
510,2016-04-19 19:49:16.023,2016-04-19 19:56:43.060
511,2016-04-19 21:43:58.333,2016-04-19 22:15:38.623
512,2016-04-19 22:15:47.410,2016-04-19 22:16:07.437
513,2016-04-19 22:23:21.493,2016-04-19 22:47:21.547
514,2016-04-19 23:02:32.577,2016-04-19 23:14:37.650
515,2016-04-20 03:17:14.677,2016-04-20 03:20:59.740
516,2016-04-20 05:29:36.327,2016-04-20 05:35:13.393
517,2016-04-20 05:36:09.447,2016-04-20 05:38:03.297
518,2016-04-20 05:49:02.267,2016-04-20 05:51:07.510
519,2016-04-20 13:53:01.460,2016-04-20 13:57:02.453
520,2016-04-20 14:08:52.650,2016-04-20 14:10:58.540
521,2016-04-21 01:39:05.573,2016-04-21 01:48:27.570
522,2016-04-21 01:48:33.630,2016-04-21 01:50:00.503
523,2016-04-21 01:51:17.433,2016-04-21 01:56:50.513
524,2016-04-21 03:28:10.713,2016-04-21 03:43:04.770
525,2016-04-21 07:12:04.603,2016-04-21 07:13:04.210
526,2016-04-21 07:30:32.550,2016-04-21 07:33:14.653
527,2016-04-21 15:28:28.133,2016-04-21 15:29:38.290
528,2016-04-22 05:33:41.540,2016-04-22 05:35:48.567
529,2016-04-22 05:59:35.630,2016-04-22 06:02:58.643
530,2016-04-22 13:49:04.070,2016-04-22 13:51:54.063
531,2016-04-22 14:56:04.843,2016-04-22 15:01:31.960
532,2016-04-22 15:02:34.840,2016-04-22 15:04:35.830
533,2016-04-22 16:41:00.597,2016-04-22 16:43:47.547
534,2016-04-22 16:52:13.487,2016-04-22 16:55:14.020
535,2016-04-22 17:06:37.567,2016-04-22 17:08:42.790
536,2016-04-22 23:33:06.710,2016-04-22 23:37:32.710
537,2016-04-23 02:39:57.233,2016-04-23 02:42:02.270
538,2016-04-23 02:57:18.407,2016-04-23 03:00:59.383
539,2016-04-23 13:39:15.260,2016-04-23 13:53:39.320
540,2016-04-24 01:27:49.923,2016-04-24 01:30:32.043
541,2016-04-24 01:52:21.967,2016-04-24 01:54:54.990
542,2016-04-24 03:17:30.210,2016-04-24 03:24:40.230
543,2016-04-24 13:14:49.680,2016-04-24 13:15:26.663
544,2016-04-24 14:00:47.800,2016-04-24 14:05:15.837
545,2016-04-24 14:17:22.847,2016-04-24 14:27:19.230
546,2016-04-24 15:53:08.693,2016-04-24 15:56:22.687
547,2016-04-24 15:57:45.680,2016-04-24 16:02:19.777
