,ProductionRequestId,TargetProductionRate
233,58671.0,340.0
234,58672.0,340.0
235,58838.0,305.0
236,58839.0,271.0
237,58848.0,244.0
238,58849.0,244.0
239,58850.0,244.0
240,58851.0,244.0
241,58860.0,305.0
242,58861.0,305.0
243,58862.0,244.0
244,58930.0,244.0
245,58931.0,244.0
246,59084.0,203.0
247,59085.0,305.0
248,59086.0,271.0
249,59087.0,244.0
250,59088.0,244.0
251,59342.0,244.0
252,59378.0,244.0
253,59379.0,203.0
254,59380.0,203.0
255,59381.0,203.0
256,59382.0,203.0
257,59383.0,203.0
258,59384.0,244.0
259,59667.0,305.0
260,59668.0,244.0
261,59675.0,244.0
262,59676.0,244.0
263,59677.0,203.0
264,59678.0,244.0
265,59681.0,300.0
266,59846.0,305.0
267,59847.0,271.0
268,59848.0,305.0
269,59849.0,244.0
270,59850.0,244.0
271,59913.0,340.0
272,59914.0,340.0
273,59915.0,340.0
274,59916.0,340.0
275,60090.0,340.0
276,60118.0,305.0
277,60227.0,271.0
278,60248.0,244.0
279,60249.0,300.0
280,60250.0,244.0
281,60252.0,244.0
282,60345.0,244.0
283,60346.0,203.0
284,60347.0,300.0
285,60516.0,244.0
286,60517.0,305.0
287,60518.0,203.0
288,60519.0,244.0
289,60520.0,244.0
290,60521.0,244.0
291,60522.0,244.0
292,60523.0,203.0
293,60524.0,203.0
294,60525.0,300.0
295,60673.0,305.0
296,60783.0,203.0
297,60851.0,244.0
298,60852.0,244.0
299,60853.0,244.0
300,60854.0,244.0
301,60855.0,305.0
302,60856.0,244.0
303,60857.0,244.0
304,60858.0,244.0
305,61036.0,244.0
306,61037.0,305.0
307,61038.0,244.0
308,61083.0,340.0
309,61084.0,305.0
310,61085.0,305.0
311,61086.0,340.0
312,61087.0,340.0
313,61089.0,340.0
314,61397.0,203.0
315,61401.0,271.0
316,61474.0,244.0
317,61475.0,244.0
318,61476.0,244.0
319,61477.0,244.0
320,61478.0,244.0
321,61479.0,244.0
322,61765.0,203.0
323,61766.0,244.0
324,61767.0,244.0
325,61768.0,244.0
326,61769.0,203.0
327,61770.0,300.0
328,61771.0,203.0
329,61866.0,244.0
330,61867.0,305.0
331,61868.0,305.0
332,61959.0,340.0
333,61960.0,340.0
334,62147.0,340.0
335,62148.0,340.0
336,62149.0,271.0
337,62150.0,340.0
338,62419.0,305.0
339,62420.0,244.0
340,62421.0,244.0
341,62422.0,244.0
342,62423.0,244.0
343,62424.0,244.0
344,62427.0,271.0
345,62428.0,244.0
346,62562.0,244.0
347,62595.0,203.0
