ID,Duration,Start,End,Quantity,Product,Power
158,28.13,2016-06-04 11:44:48.170,2016-06-05 15:52:41.483,5000.0,044042EU,3.01
159,27.54,2016-06-05 15:53:22.993,2016-06-06 19:25:40.050,5700.0,044046EU,3.66
160,29.33,2016-06-06 19:51:07.957,2016-06-08 01:10:56.580,4500.0,043932EU,3.93
161,14.15,2016-06-08 02:45:16.797,2016-06-08 16:54:30.000,1800.0,042932EU,3.81
162,11.14,2016-06-08 16:54:34.153,2016-06-09 04:03:01.267,1000.0,042738EU,3.46
163,22.78,2016-06-09 04:03:07.287,2016-06-10 02:49:43.307,3000.0,042939EU,4.32
164,10.21,2016-06-10 10:04:45.373,2016-06-10 20:17:03.673,1100.0,043947EU,4.32
165,15.78,2016-06-10 20:35:53.417,2016-06-11 12:22:41.377,1800.0,037732CH,3.19
166,13.96,2016-06-11 12:28:11.930,2016-06-12 02:25:52.530,2700.0,023732CH,4.59
167,27.54,2016-06-12 02:25:59.167,2016-06-13 05:58:38.967,3600.0,044138EU,3.15
168,41.77,2016-06-13 06:15:37.633,2016-06-15 00:01:53.643,5000.0,044042EU,3.37
169,0.97,2016-06-14 12:55:07.760,2016-06-14 13:53:32.243,150.0,002966EU,3.88
170,36.78,2016-06-15 00:01:59.837,2016-06-16 12:48:34.763,5700.0,044046EU,3.21
171,0.78,2016-06-15 08:55:22.903,2016-06-15 09:42:21.780,150.0,042539EU,3.23
172,24.5,2016-06-16 12:48:40.677,2016-06-17 13:18:57.983,2700.0,043932EU,4.75
173,7.46,2016-06-17 13:19:44.530,2016-06-17 20:47:21.357,1800.0,043942EU,3.33
174,9.82,2016-06-17 20:47:27.503,2016-06-18 06:36:43.940,3200.0,042943EU,4.67
175,4.61,2016-06-18 07:17:17.230,2016-06-18 11:53:38.990,1200.0,041643EU,3.24
176,22.06,2016-06-18 12:01:51.503,2016-06-19 10:05:38.887,3000.0,042939EU,3.28
177,4.82,2016-06-19 11:24:19.737,2016-06-19 16:13:48.900,600.0,023738CH,4.6
178,19.44,2016-06-19 16:13:52.433,2016-06-20 11:40:20.500,2900.0,037739CH,4.44
179,24.09,2016-06-20 11:40:24.233,2016-06-21 11:45:32.710,3200.0,044138EU,4.67
180,43.76,2016-06-21 11:48:35.843,2016-06-23 07:33:56.157,11300.0,044046EU,3.12
181,28.03,2016-06-23 07:35:14.167,2016-06-24 11:37:08.143,2300.0,042932EU,4.54
182,12.78,2016-06-24 11:37:12.383,2016-06-25 00:23:55.807,2700.0,043932EU,4.75
183,13.06,2016-06-25 00:28:09.060,2016-06-25 13:31:53.200,800.0,036640EC,3.57
184,6.42,2016-06-25 13:37:48.550,2016-06-25 20:03:10.307,1900.0,036640EC,3.87
185,27.08,2016-06-25 20:21:36.630,2016-06-26 23:26:40.513,3000.0,042939EU,3.12
186,57.64,2016-06-27 00:05:07.570,2016-06-29 09:43:39.437,6000.0,044042EU,3.37
187,14.6,2016-06-29 10:35:19.990,2016-06-30 01:11:29.553,2700.0,023732CH,4.83
188,10.19,2016-06-30 01:11:33.750,2016-06-30 11:23:04.367,2800.0,043477CH,3.65
189,9.07,2016-06-30 11:23:36.423,2016-06-30 20:27:39.470,1700.0,037766EC,4.8
190,22.95,2016-06-30 20:27:44.750,2016-07-01 19:24:44.573,5700.0,044046EU,4.18
191,18.79,2016-07-01 19:24:52.070,2016-07-02 14:12:03.727,2700.0,037739CH,4.77
192,25.48,2016-07-02 14:13:14.463,2016-07-03 15:41:47.083,4100.0,044138EU,4.52
193,14.71,2016-07-03 16:02:35.810,2016-07-04 06:44:58.610,3200.0,028138EU,4.14
194,44.02,2016-07-04 06:45:03.297,2016-07-06 02:46:10.590,4200.0,042939EU,3.12
195,19.27,2016-07-06 02:56:31.070,2016-07-06 22:12:57.307,1300.0,043938EU,3.2
196,3.48,2016-07-06 22:15:20.603,2016-07-07 01:44:21.597,600.0,042738EU,3.61
197,7.63,2016-07-07 01:54:26.620,2016-07-07 09:32:08.547,1000.0,043932EU,4.67
198,17.85,2016-07-07 09:32:14.310,2016-07-08 03:23:08.623,2300.0,042944EU,4.92
199,20.73,2016-07-08 03:23:21.927,2016-07-09 00:07:17.810,700.0,036647EC,3.18
200,10.77,2016-07-09 00:12:52.850,2016-07-09 10:58:50.540,2000.0,036647EC,3.84
201,38.56,2016-07-09 11:17:35.043,2016-07-11 01:51:08.197,5400.0,042943EU,3.26
202,7.19,2016-07-11 03:33:04.323,2016-07-11 10:44:24.030,1400.0,036640EC,4.54
203,24.61,2016-07-11 10:44:31.773,2016-07-12 11:21:24.530,2100.0,037766EC,4.57
204,31.69,2016-07-12 12:10:39.593,2016-07-13 19:52:20.607,2700.0,044042EU,3.76
205,1.97,2016-07-13 19:52:26.120,2016-07-13 21:50:52.020,1300.0,044042EU,3.22
206,6.07,2016-07-13 21:50:56.947,2016-07-14 03:54:52.243,1000.0,037732CH,4.58
207,15.21,2016-07-14 03:54:55.600,2016-07-14 19:07:48.407,2600.0,023732CH,3.2
208,26.58,2016-07-14 19:57:22.183,2016-07-15 22:32:28.137,5700.0,044046EU,3.05
209,22.41,2016-07-25 10:33:23.947,2016-07-26 08:57:54.340,5000.0,044042EU,3.65
210,39.48,2016-07-26 08:57:58.643,2016-07-28 00:26:28.800,8000.0,044046EU,3.81
211,8.98,2016-07-28 00:46:14.510,2016-07-28 09:45:07.877,1000.0,023738CH,3.29
212,24.16,2016-07-28 09:46:19.330,2016-07-29 09:56:09.797,3500.0,037739CH,3.82
213,1.73,2016-07-29 10:05:28.467,2016-07-29 11:48:59.803,500.0,044138EU,4.32
214,14.47,2016-07-29 11:49:03.713,2016-07-30 02:17:30.633,2700.0,044138EU,3.34
215,18.02,2016-07-30 02:48:48.600,2016-07-30 20:49:53.747,4100.0,041137EU,4.96
216,11.21,2016-07-30 22:00:18.833,2016-07-31 09:13:10.507,1200.0,043947EU,4.96
