ID,Duration,Start,End,Power,Factor
148,25.88,2016-05-28 04:26:46.800,2016-05-29 06:19:48.240,39.25,154.38
149,10.68,2016-05-29 06:23:04.350,2016-05-29 17:03:43.803,41.33,106.21
150,19.66,2016-05-29 17:03:46.957,2016-05-30 12:43:18.373,37.93,147.79
151,12.28,2016-05-30 12:43:23.163,2016-05-31 01:00:17.940,34.31,115.68
152,15.45,2016-05-31 01:00:23.950,2016-05-31 16:27:12.937,42.83,112.48
153,13.81,2016-05-31 16:27:19.950,2016-06-01 06:15:39.740,42.7,166.33
154,37.12,2016-06-01 06:39:52.210,2016-06-02 19:47:16.810,44.8,140.52
155,15.12,2016-06-02 19:47:27.080,2016-06-03 10:54:24.590,42.68,171.18
156,11.3,2016-06-03 12:35:33.533,2016-06-03 23:53:43.370,47.71,171.48
157,11.7,2016-06-03 23:53:47.223,2016-06-04 11:35:49.837,30.75,110.09
158,28.13,2016-06-04 11:44:48.170,2016-06-05 15:52:41.483,35.77,123.52
159,27.54,2016-06-05 15:53:22.993,2016-06-06 19:25:40.050,35.61,165.9
160,29.33,2016-06-06 19:51:07.957,2016-06-08 01:10:56.580,49.71,136.55
161,14.15,2016-06-08 02:45:16.797,2016-06-08 16:54:30.000,40.82,179.14
162,11.14,2016-06-08 16:54:34.153,2016-06-09 04:03:01.267,34.77,182.61
163,22.78,2016-06-09 04:03:07.287,2016-06-10 02:49:43.307,47.94,178.87
164,10.21,2016-06-10 10:04:45.373,2016-06-10 20:17:03.673,46.89,107.5
165,15.78,2016-06-10 20:35:53.417,2016-06-11 12:22:41.377,45.23,151.4
166,13.96,2016-06-11 12:28:11.930,2016-06-12 02:25:52.530,42.64,136.45
167,27.54,2016-06-12 02:25:59.167,2016-06-13 05:58:38.967,30.0,168.34
168,41.77,2016-06-13 06:15:37.633,2016-06-15 00:01:53.643,40.56,125.68
169,0.97,2016-06-14 12:55:07.760,2016-06-14 13:53:32.243,47.4,115.19
170,36.78,2016-06-15 00:01:59.837,2016-06-16 12:48:34.763,40.35,154.11
171,0.78,2016-06-15 08:55:22.903,2016-06-15 09:42:21.780,41.42,192.1
172,24.5,2016-06-16 12:48:40.677,2016-06-17 13:18:57.983,32.21,165.27
173,7.46,2016-06-17 13:19:44.530,2016-06-17 20:47:21.357,48.68,156.73
174,9.82,2016-06-17 20:47:27.503,2016-06-18 06:36:43.940,42.63,115.82
175,4.61,2016-06-18 07:17:17.230,2016-06-18 11:53:38.990,30.46,186.61
176,22.06,2016-06-18 12:01:51.503,2016-06-19 10:05:38.887,39.12,196.43
177,4.82,2016-06-19 11:24:19.737,2016-06-19 16:13:48.900,46.41,154.44
178,19.44,2016-06-19 16:13:52.433,2016-06-20 11:40:20.500,47.49,173.32
179,24.09,2016-06-20 11:40:24.233,2016-06-21 11:45:32.710,43.22,116.34
180,43.76,2016-06-21 11:48:35.843,2016-06-23 07:33:56.157,33.09,131.2
181,28.03,2016-06-23 07:35:14.167,2016-06-24 11:37:08.143,44.81,118.63
182,12.78,2016-06-24 11:37:12.383,2016-06-25 00:23:55.807,35.52,159.57
183,13.06,2016-06-25 00:28:09.060,2016-06-25 13:31:53.200,44.73,126.55
184,6.42,2016-06-25 13:37:48.550,2016-06-25 20:03:10.307,32.48,144.27
185,27.08,2016-06-25 20:21:36.630,2016-06-26 23:26:40.513,43.06,191.03
186,57.64,2016-06-27 00:05:07.570,2016-06-29 09:43:39.437,34.39,135.97
187,14.6,2016-06-29 10:35:19.990,2016-06-30 01:11:29.553,49.38,191.66
188,10.19,2016-06-30 01:11:33.750,2016-06-30 11:23:04.367,37.93,174.51
189,9.07,2016-06-30 11:23:36.423,2016-06-30 20:27:39.470,46.05,179.31
190,22.95,2016-06-30 20:27:44.750,2016-07-01 19:24:44.573,37.31,120.37
191,18.79,2016-07-01 19:24:52.070,2016-07-02 14:12:03.727,36.73,129.19
192,25.48,2016-07-02 14:13:14.463,2016-07-03 15:41:47.083,35.54,100.75
193,14.71,2016-07-03 16:02:35.810,2016-07-04 06:44:58.610,46.42,191.1
194,44.02,2016-07-04 06:45:03.297,2016-07-06 02:46:10.590,44.11,101.05
195,19.27,2016-07-06 02:56:31.070,2016-07-06 22:12:57.307,46.4,151.33
196,3.48,2016-07-06 22:15:20.603,2016-07-07 01:44:21.597,43.35,118.43
197,7.63,2016-07-07 01:54:26.620,2016-07-07 09:32:08.547,32.8,112.98
198,17.85,2016-07-07 09:32:14.310,2016-07-08 03:23:08.623,40.55,103.4
199,20.73,2016-07-08 03:23:21.927,2016-07-09 00:07:17.810,30.16,145.65
200,10.77,2016-07-09 00:12:52.850,2016-07-09 10:58:50.540,40.34,130.52
201,38.56,2016-07-09 11:17:35.043,2016-07-11 01:51:08.197,48.98,142.04
202,7.19,2016-07-11 03:33:04.323,2016-07-11 10:44:24.030,42.9,192.06
203,24.61,2016-07-11 10:44:31.773,2016-07-12 11:21:24.530,39.9,138.48
204,31.69,2016-07-12 12:10:39.593,2016-07-13 19:52:20.607,39.59,134.43
205,1.97,2016-07-13 19:52:26.120,2016-07-13 21:50:52.020,45.82,188.42
206,6.07,2016-07-13 21:50:56.947,2016-07-14 03:54:52.243,41.54,153.63
207,15.21,2016-07-14 03:54:55.600,2016-07-14 19:07:48.407,42.72,193.9
208,26.58,2016-07-14 19:57:22.183,2016-07-15 22:32:28.137,41.2,153.01
209,22.41,2016-07-25 10:33:23.947,2016-07-26 08:57:54.340,33.86,197.34
210,39.48,2016-07-26 08:57:58.643,2016-07-28 00:26:28.800,43.93,152.57
211,8.98,2016-07-28 00:46:14.510,2016-07-28 09:45:07.877,44.3,181.8
212,24.16,2016-07-28 09:46:19.330,2016-07-29 09:56:09.797,35.54,144.92
213,1.73,2016-07-29 10:05:28.467,2016-07-29 11:48:59.803,42.41,113.26
214,14.47,2016-07-29 11:49:03.713,2016-07-30 02:17:30.633,49.27,109.42
215,18.02,2016-07-30 02:48:48.600,2016-07-30 20:49:53.747,35.64,185.5
216,11.21,2016-07-30 22:00:18.833,2016-07-31 09:13:10.507,47.5,132.52
217,31.38,2016-07-31 09:17:51.643,2016-08-01 16:40:46.457,37.87,189.51
218,41.5,2016-08-01 16:40:51.283,2016-08-03 10:11:02.540,39.0,110.99
219,41.26,2016-08-03 11:00:45.230,2016-08-05 04:16:08.997,48.13,138.93
220,16.95,2016-08-05 06:39:06.347,2016-08-05 23:36:09.230,33.93,117.79
221,9.04,2016-08-05 23:37:11.760,2016-08-06 08:39:39.643,33.47,128.04
222,11.53,2016-08-06 08:53:48.967,2016-08-06 20:25:26.163,31.74,166.29
223,45.8,2016-08-06 20:25:32.697,2016-08-08 18:13:32.287,41.67,163.14
224,30.23,2016-08-08 18:55:08.123,2016-08-10 01:08:41.950,40.48,139.74
225,34.63,2016-08-10 01:12:53.047,2016-08-11 11:50:42.997,45.7,186.5
