ID,Duration,Start,End,Power
295,5.87,2016-06-20 19:53:12.050,2016-06-21 01:45:32.677,39.95
296,5.9,2016-06-21 01:45:42.530,2016-06-21 07:39:56.633,34.29
297,7.49,2016-06-21 08:00:22.793,2016-06-21 15:29:53.087,43.27
298,6.22,2016-06-21 17:47:48.640,2016-06-22 00:01:06.900,41.72
299,6.91,2016-06-22 00:01:10.977,2016-06-22 06:55:33.700,40.06
300,6.96,2016-06-22 07:18:42.093,2016-06-22 14:16:15.053,36.67
301,6.95,2016-06-22 14:24:13.513,2016-06-22 21:21:08.730,30.77
302,6.95,2016-06-23 15:14:26.877,2016-06-23 22:11:09.017,39.04
303,6.68,2016-06-23 22:11:14.180,2016-06-24 04:52:13.097,43.04
304,6.46,2016-06-24 05:09:15.610,2016-06-24 11:36:47.230,31.53
305,6.42,2016-06-24 11:47:36.793,2016-06-24 18:12:43.583,37.39
306,17.83,2016-06-24 20:57:53.737,2016-06-25 14:47:33.503,33.5
307,35.72,2016-06-25 15:16:26.017,2016-06-27 02:59:50.620,42.08
308,6.91,2016-06-27 06:06:57.510,2016-06-27 13:01:18.393,32.23
309,8.34,2016-06-27 13:10:04.533,2016-06-27 21:30:24.483,40.5
310,5.92,2016-06-27 21:30:29.063,2016-06-28 03:25:44.220,49.06
311,6.5,2016-06-28 04:14:31.547,2016-06-28 10:44:20.980,35.56
312,7.55,2016-06-28 10:44:30.280,2016-06-28 18:17:29.067,31.06
313,6.2,2016-06-28 18:36:14.487,2016-06-29 00:48:28.850,34.41
314,6.15,2016-06-29 00:48:33.670,2016-06-29 06:57:29.207,36.81
315,5.9,2016-06-29 07:39:37.300,2016-06-29 13:33:38.083,39.41
316,6.63,2016-06-29 13:51:07.053,2016-06-29 20:29:03.873,38.22
317,6.53,2016-06-29 20:29:08.450,2016-06-30 03:01:10.037,42.86
318,6.11,2016-06-30 03:19:57.297,2016-06-30 09:26:41.370,44.96
319,5.75,2016-06-30 09:53:32.723,2016-06-30 15:38:31.367,43.75
320,5.66,2016-06-30 16:05:17.123,2016-06-30 21:45:09.980,31.65
321,9.68,2016-06-30 21:45:13.867,2016-07-01 07:26:14.817,38.19
322,11.15,2016-07-01 12:55:54.117,2016-07-02 00:04:50.440,46.08
323,25.18,2016-07-02 00:24:38.013,2016-07-03 01:35:39.443,35.17
324,20.89,2016-07-03 01:35:44.590,2016-07-03 22:29:20.820,37.12
325,6.9,2016-07-04 08:03:46.097,2016-07-04 14:57:52.880,32.57
326,6.39,2016-07-04 15:29:16.100,2016-07-04 21:52:29.670,48.35
327,24.64,2016-07-04 22:09:49.427,2016-07-05 22:47:57.297,37.56
328,6.02,2016-07-05 23:10:19.707,2016-07-06 05:11:42.460,35.19
329,6.4,2016-07-06 05:21:24.040,2016-07-06 11:45:23.403,35.99
330,6.7,2016-07-06 12:04:42.737,2016-07-06 18:46:24.870,45.25
331,7.0,2016-07-06 19:08:31.183,2016-07-07 02:08:21.247,48.99
332,5.95,2016-07-07 02:08:24.657,2016-07-07 08:05:27.080,49.8
333,5.78,2016-07-07 08:14:15.463,2016-07-07 14:00:53.867,30.67
334,47.62,2016-07-08 13:39:36.393,2016-07-10 13:16:37.983,42.62
335,6.12,2016-07-11 13:59:38.407,2016-07-11 20:06:42.260,30.2
336,8.29,2016-07-11 20:25:04.023,2016-07-12 04:42:22.860,32.07
337,4.71,2016-07-12 05:03:20.690,2016-07-12 09:45:55.253,31.84
338,5.82,2016-07-13 06:26:09.470,2016-07-13 12:15:36.513,41.79
339,6.07,2016-07-14 01:46:58.093,2016-07-14 07:51:13.997,39.36
340,7.17,2016-07-14 08:00:48.797,2016-07-14 15:10:54.023,42.48
341,6.5,2016-07-14 15:16:21.890,2016-07-14 21:46:37.477,42.56
342,5.91,2016-07-25 10:49:20.083,2016-07-25 16:43:52.900,34.87
343,6.6,2016-07-25 17:17:20.003,2016-07-25 23:53:22.383,39.31
344,6.17,2016-07-26 00:10:49.743,2016-07-26 06:21:19.427,47.36
345,5.71,2016-07-26 06:39:36.283,2016-07-26 12:22:10.067,33.42
346,6.19,2016-07-26 12:39:00.307,2016-07-26 18:50:26.977,46.52
347,5.76,2016-07-26 19:05:40.487,2016-07-27 00:51:18.083,43.77
348,6.02,2016-07-27 00:59:49.417,2016-07-27 07:00:57.337,38.1
